index,AddressLine1,AddressLine2,AddressLine3,AddressLine4,BoardName,City,ComplaintFromDate,ComplaintNumber,ComplaintToDate,Country,CountryShortCode,County,DisciplinaryAction,DisciplinaryActionTypeId,DoingBusinessAs,Emailid1,FacilityName,FacilityStreetAddress,FictitiousName,FirstName,FullName,IsFacility,IsPersonFacility,LastName,LicenceType,LicenseId,LicenseNumber,LicenseTypeId,McareCourtFiled,McareDocketNumber,McareServed,MiddleName,NameSuffix,OptPersonFacility,PageNo,PersonId,PhoneNo1,ProfessionID,ProfessionType,RecaptchaResponse,RequestedFileId,RequestedFileName,Row,State,Status,TotalRecords,zipcode
0,,,,"PHILADELPHIA, PA 19103",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,18TH STREET APOTHECARY,"113 SOUTH 18TH STREET   PHILADELPHIA, PA 19103",,,,0,False,,Pharmacy,2338968,PP481829,,,,,,,,0,2356698,2155640900,,Pharmacy,,,,1,Pennsylvania,Active,7585,19103
1,,,,"FOLCROFT, PA 19032",State Board of Pharmacy,Folcroft,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Delaware,,,,,"1934 DELMAR PHARMACY, INC.","1934 DELMAR DRIVE   FOLCROFT, PA 19032",,,,0,False,,Pharmacy,1074271,PP481396,,,,,,,,0,2121751,,,Pharmacy,,,,2,Pennsylvania,Active,7585,19032
2,,,,"SOUTHAMPTON, PA 18966",State Board of Pharmacy,SOUTHAMPTON,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Bucks,,,,,1ST CHOICE PHARMACY LLC,"928 JAYMOR ROAD BUILDING A, SUITE 200  SOUTHAMPTON, PA 18966",,,,0,False,,Pharmacy,2767631,PP482404,,,,,,,,0,2737928,,,Pharmacy,,,,3,Pennsylvania,Active,7585,18966
3,,,,"PHILADELPHIA, PA 19132",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,26TH AND LEHIGH PHARMACY,"2602 W LEHIGH AVENUE   PHILADELPHIA, PA 19132",,,,0,False,,Pharmacy,3102826,PP482166,,,,,,,,0,2580731,,,Pharmacy,,,,4,Pennsylvania,Active,7585,19132
4,,,,"PHILADELPHIA, PA 19132",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,29TH ST PHARMACY,"2334 N 29TH ST   PHILADELPHIA, PA 19132",,,,0,False,,Pharmacy,3256291,PP482743,,,,,,,,0,3006178,,,Pharmacy,,,,5,Pennsylvania,Active,7585,19132
5,,,,"SOUTHAMPTON, PA 18966",State Board of Pharmacy,Southampton,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Bucks,,,,,5 STAR PHARMACY & MEDICAL SUPPLY,"209 SECOND STREET PIKE   SOUTHAMPTON, PA 18966",,,,0,False,,Pharmacy,36415,PP482329,,,,,,,,0,2681225,,,Pharmacy,,,,6,Pennsylvania,Active,7585,18966
6,,,,"PHILADELPHIA, PA 19142",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,susannguyen12879@hotmail.com,65TH & WOODLAND PHARMACY,"6548 WOODLAND AVE   PHILADELPHIA, PA 19142",,,,0,False,,Pharmacy,1384801,PP414901L,,,,,,,,0,1061046,2157279501,,Pharmacy,,,,7,Pennsylvania,Active,7585,19142
7,,,,"HAVERTOWN, PA 19083",State Board of Pharmacy,Havertown,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Delaware,,,,,700 PHARMACY,"700 E TOWNSHIP LINE ROAD   HAVERTOWN, PA 19083",,,,0,False,,Pharmacy,2319214,PP482366,,,,,,,,0,2703474,,,Pharmacy,,,,8,Pennsylvania,Active,7585,19083
8,,,,"PHILADELPHIA, PA 19147",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,"8TH STREET PHARMACY, LLC","819 S 8TH STREET   PHILADELPHIA, PA 19147",,,,0,False,,Pharmacy,82746,PP481623,,,,,,,,0,2243578,,,Pharmacy,,,,9,Pennsylvania,Active,7585,19147
9,,,,"PHILADELPHIA, PA 19123",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,"9TH & GIRARD PHARMACY, INC","901 W GIRARD AVE  #105   PHILADELPHIA, PA 19123",,,,0,False,,Pharmacy,704401,PP482495,,,,,,,,0,2799003,,,Pharmacy,,,,10,Pennsylvania,Active,7585,19123
10,,,,"PHILADELPHIA, PA 19134",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,A & F PHARMACY,"3200 FRANKFORD AVENUE   PHILADELPHIA, PA 19134",,,,0,False,,Pharmacy,1372785,PP415774L,,,,,,,,0,1061867,,,Pharmacy,,,,11,Pennsylvania,Active,7585,19134
11,,,,"ALIQUIPPA, PA 15001",State Board of Pharmacy,ALIQUIPPA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Beaver,,,,,A & G PHARMACY SERVICE INC,"2665 BRODHEAD ROAD SUITE B  ALIQUIPPA, PA 15001",,,,0,False,,Pharmacy,1364881,PP414481L,,,,,,,,0,1060659,,,Pharmacy,,,,12,Pennsylvania,Active,7585,15001
12,,,,"PHILADELPHIA, PA 19134",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,A & W PHARMACY INC,"2623 E WESTMORELAND ST   PHILADELPHIA, PA 19134",,,,0,False,,Pharmacy,1361501,PP415434L,,,,,,,,0,1061565,,,Pharmacy,,,,13,Pennsylvania,Active,7585,19134
13,,,,"PHILADELPHIA, PA 19116",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,A PLUS PHARMACY INC,"13023 BUSTLETON AVENUE STE 1C   PHILADELPHIA, PA 19116",,,,0,False,,Pharmacy,63519,PP482183,,,,,,,,0,2591096,,,Pharmacy,,,,14,Pennsylvania,Active,7585,19116
14,,,,"ABINGTON, PA 19001",State Board of Pharmacy,ABINGTON,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Montgomery,,,,,ABINGTON MEMORIAL HOSPITAL PHARMACY,"1200 OLD YORK ROAD   ABINGTON, PA 19001",,,,0,False,,Pharmacy,1335691,HP418001L,,,,,,,,0,497603,,,Pharmacy,,,,15,Pennsylvania,Active,7585,19001
15,,,,"ABINGTON, PA 19001",State Board of Pharmacy,ABINGTON,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Montgomery,,,,,ABINGTON PHARMACY,"1460 YORK ROAD   ABINGTON, PA 19001",,,,0,False,,Pharmacy,1398537,PP410013L,,,,,,,,0,1056622,,,Pharmacy,,,,16,Pennsylvania,Active,7585,19001
16,,,,"PHILADELPHIA, PA 19106",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,ABRAMSON CANCER CENTER AT PENNSYLVANIA HOSPITAL INFUSION PHARMACY,"230 W WASHINGTON SQUARE   PHILADELPHIA, PA 19106",,,,0,False,,Pharmacy,377238,PP482473,,,,,,,,0,2780898,,,Pharmacy,,,,17,Pennsylvania,Active,7585,19106
17,,,,"PHILADELPHIA, PA 19125",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,sdickerson@absolutecare.com,ABSOLUTECARE OF PHILADELPHIA,"1080 N DELAWARE AVENUE 8TH FLOOR  PHILADELPHIA, PA 19125",,,,0,False,,Pharmacy,3477048,PP482862,,,,,,,,0,3271989,,,Pharmacy,,,,18,Pennsylvania,Active,7585,19125
18,,,,"PHILADELPHIA, PA 19114",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,ACADEMY PHARMACY,"10101 ACADEMY ROAD SUITE 105  PHILADELPHIA, PA 19114",,,,0,False,,Pharmacy,2807378,PP481582,,,,,,JR,,0,2218653,,,Pharmacy,,,,19,Pennsylvania,Active,7585,19114
19,,,,"WARRENDALE, PA 15086",State Board of Pharmacy,Warrendale,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,joseph_montgomery@express-scripts.com,ACCREDO HEALTH GROUP INC,"3000 ERICSSON DRIVE, SUITE 100   WARRENDALE, PA 15086",,,,0,False,,Pharmacy,1362720,PP415423L,,,,,,,,0,1061554,,,Pharmacy,,,,20,Pennsylvania,Active,7585,150867502
20,,,,"NORTH HUNTINGDON, PA 15642",State Board of Pharmacy,North Huntingdon,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Westmoreland,,,,,ACCUSERV PHARMACY,"8731 ROUTE 30   NORTH HUNTINGDON, PA 15642",,,,0,False,,Pharmacy,1852220,PP481459,,,,,,,,0,2159059,,,Pharmacy,,,,21,Pennsylvania,Active,7585,15642
21,,,,"NORTH HUNTINGDON, PA 15642",State Board of Pharmacy,North Huntingdon,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Westmoreland,,,,,ACCUSERV PHARMACY,"8731 ROUTE 30 STE 1   NORTH HUNTINGDON, PA 15642",,,,0,False,,Pharmacy,2703437,PP482655,,,,,,,,0,2929690,,,Pharmacy,,,,22,Pennsylvania,Active,7585,15642
22,,,,"BOOTHWYN, PA 19061",State Board of Pharmacy,BOOTHWYN,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Delaware,,,,RXLICENSE@ALBERTSONS.COM,ACME PHARMACY #2693,"643 CONCHESTER HIGHWAY   BOOTHWYN, PA 19061",,,,0,False,,Pharmacy,1365040,PP414956L,,,,,,,,0,1061100,6108598930,,Pharmacy,,,,23,Pennsylvania,Active,7585,19061
23,,,,"PHILADELPHIA, PA 19118",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,,ACME PHARMACY #2833,"7700 CRITTENDON STREET   PHILADELPHIA, PA 19118",,,,0,False,,Pharmacy,1360629,PP415673L,,,,,,,,0,1061784,,,Pharmacy,,,,24,Pennsylvania,Active,7585,19118
24,,,,"PHILADELPHIA, PA 19123",State Board of Pharmacy,Philadelphia,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,KIJOWSKIS@APTEA.COM,ACME PHARMACY #291,"180 WEST GIRARD AVENUE   PHILADELPHIA, PA 19123",,,,0,False,,Pharmacy,3191693,PP482180,,,,,,,,0,2589485,2015708326,,Pharmacy,,,,25,Pennsylvania,Active,7585,19123
25,,,,"PHILADELPHIA, PA 19149",State Board of Pharmacy,PHILADELPHIA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Philadelphia,,,,76710RX@APTEA.COM,ACME PHARMACY #299,"2101-41 COTTMAN AVENUE   PHILADELPHIA, PA 19149",,,,0,False,,Pharmacy,1374077,PP415281L,,,,,,,,0,1061420,2157253582,,Pharmacy,,,,26,Pennsylvania,Active,7585,19149
26,,,,"CARNEGIE, PA 15106",State Board of Pharmacy,Carnegie,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,ACORX,"520 E MAIN ST   CARNEGIE, PA 15106",,,,0,False,,Pharmacy,3206847,PP482686,,,,,,,,0,2973428,,,Pharmacy,,,,27,Pennsylvania,Active,7585,15106
27,,,,"HAMBURG, PA 19526",State Board of Pharmacy,HAMBURG,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Berks,,,,,"ADAMS & BRIGHT DRUGS, LLC","306 STATE ST   HAMBURG, PA 19526",,,,0,False,,Pharmacy,1376623,PP410019L,,,,,,,,0,1056628,,,Pharmacy,,,,28,Pennsylvania,Active,7585,19526
28,,,,"BIGLERVILLE, PA 17307",State Board of Pharmacy,Biglerville,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Adams,,,,ed.maff@acpharmacy.net,ADAMS CUMBERLAND MEDICAL CTR PHCY,"3463 BIGLERVILLE ROAD PO BOX 481  BIGLERVILLE, PA 17307",,,,0,False,,Pharmacy,1366609,PP413295L,,,,,,JR,,0,1059492,7177666142,,Pharmacy,,,,29,Pennsylvania,Active,7585,17307
29,,,,"GLENSIDE, PA 19038",State Board of Pharmacy,Glenside,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Montgomery,,,,,ADAMS DISCOUNT PHARMACY,"241 KESWICK AVENUE   GLENSIDE, PA 19038",,,,0,False,,Pharmacy,2049405,PP481479,,,,,,,,0,2174027,,,Pharmacy,,,,30,Pennsylvania,Active,7585,19038
30,,,,"INDIANA, PA 15701",State Board of Pharmacy,INDIANA,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Indiana,,,,indianacompounding@hotmail.com,ADVANCE CARE PHARMACY,"280 INDIAN SPRINGS RD  STE 125   INDIANA, PA 15701",,,,0,False,,Pharmacy,1361958,PP414041L,,,,,,,,0,1060219,7244639300,,Pharmacy,,,,31,Pennsylvania,Active,7585,15701
31,,,,"PLAINS, PA 18705",State Board of Pharmacy,Plains,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Luzerne,,,,,ADVANCED PHARMACY SERVICES LLC,"220 S. RIVER STREET   PLAINS, PA 18705",,,,0,False,,Pharmacy,2944436,PP482147,,,,,,,,0,2565977,,,Pharmacy,,,,32,Pennsylvania,Active,7585,18705
32,,,,"PLYMOUTH MEETING, PA 19462",State Board of Pharmacy,Plymouth Meeting,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Montgomery,,,,JASON@advancedrxCOMPOUNDING.COM,ADVANCED RX,"5205 MILITIA HILL RD  STE 200   PLYMOUTH MEETING, PA 19462",,,,0,False,,Pharmacy,969019,PP482512,,,,,,,,0,2813117,4846815756,,Pharmacy,,,,33,Pennsylvania,Active,7585,19462
33,,,,"LANSDALE, PA 19446",State Board of Pharmacy,Lansdale,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Montgomery,,,,,ADVOCATE PHARMACY,"535 S BROAD ST   LANSDALE, PA 19446",,,,0,False,,Pharmacy,3293027,PP482751,,,,,,,,0,3035379,,,Pharmacy,,,,34,Pennsylvania,Active,7585,19446
34,,,,"PITTSBURGH, PA 15237",State Board of Pharmacy,PITTSBURGH,0001-01-01T00:00:00,,0001-01-01T00:00:00,United States,UNITED_STATES,Allegheny,,,,,ADZEMA PHARMACY,"8105 PERRY HIGHWAY   PITTSBURGH, PA 15237",,,,0,False,,Pharmacy,1367044,PP413073L,,,,,,,,0,1059323,,,Pharmacy,,,,35,Pennsylvania,Active,7585,15237
