FacilityName,LicenseNumber,Status,IssueDate,StatusEffectivedate,LastRenewalDate,zipcode,City
18TH STREET APOTHECARY,PP481829,Active,2008-07-15,2008-07-15,2019-07-18,19103,PHILADELPHIA
"1934 DELMAR PHARMACY, INC.",PP481396,Active,2004-10-07,2004-10-07,2019-07-26,19032,FOLCROFT
1ST CHOICE PHARMACY LLC,PP482404,Active,2013-07-24,2018-05-23,2019-08-05,18966,SOUTHAMPTON
26TH AND LEHIGH PHARMACY,PP482166,Active,2011-08-25,2011-08-25,2019-07-30,19132,PHILADELPHIA
29TH ST PHARMACY,PP482743,Active,2017-08-07,2017-08-07,2019-07-26,19132,PHILADELPHIA
5 STAR PHARMACY & MEDICAL SUPPLY,PP482329,Active,2012-11-05,2012-11-05,2019-07-16,18966,SOUTHAMPTON
65TH & WOODLAND PHARMACY,PP414901L,Active,1994-06-10,2014-11-25,2019-07-29,19142,PHILADELPHIA
700 PHARMACY,PP482366,Active,2013-04-10,2013-04-10,2019-07-29,19083,HAVERTOWN
"8TH STREET PHARMACY, LLC",PP481623,Active,2006-09-19,2006-09-19,2019-08-05,19147,PHILADELPHIA
"9TH & GIRARD PHARMACY, INC",PP482495,Active,2014-09-09,2014-09-09,2019-08-14,19123,PHILADELPHIA
A & F PHARMACY,PP415774L,Active,2001-05-19,2001-06-18,2019-07-16,19134,PHILADELPHIA
A & G PHARMACY SERVICE INC,PP414481L,Active,1991-09-05,2001-06-18,2019-07-16,15001,ALIQUIPPA
A & W PHARMACY INC,PP415434L,Active,1998-09-23,2001-06-18,2019-07-16,19134,PHILADELPHIA
A PLUS PHARMACY INC,PP482183,Active,2011-10-11,2011-10-11,2019-07-29,19116,PHILADELPHIA
ABINGTON MEMORIAL HOSPITAL PHARMACY,HP418001L,Active,1977-07-19,2001-06-18,2019-08-13,19001,ABINGTON
ABINGTON PHARMACY,PP410013L,Active,1977-08-29,2001-06-18,2019-07-16,19001,ABINGTON
ABRAMSON CANCER CENTER AT PENNSYLVANIA HOSPITAL INFUSION PHARMACY,PP482473,Active,2014-04-23,2014-04-23,2019-07-18,19106,PHILADELPHIA
ABSOLUTECARE OF PHILADELPHIA,PP482862,Active,2019-03-15,2019-03-15,2019-07-24,19125,PHILADELPHIA
ACADEMY PHARMACY,PP481582,Active,2006-04-20,2006-04-20,2019-08-01,19114,PHILADELPHIA
ACCREDO HEALTH GROUP INC,PP415423L,Active,1998-09-24,2001-06-18,2019-08-02,150867502,WARRENDALE
ACCUSERV PHARMACY,PP481459,Active,2005-05-09,2005-05-09,2019-08-05,15642,NORTH HUNTINGDON
ACCUSERV PHARMACY,PP482655,Active,2016-06-13,2016-06-13,2019-07-30,15642,NORTH HUNTINGDON
ACME PHARMACY #2693,PP414956L,Active,1994-11-30,2001-06-18,2019-07-16,19061,BOOTHWYN
ACME PHARMACY #2833,PP415673L,Active,2000-07-24,2001-06-18,2019-07-16,19118,PHILADELPHIA
ACME PHARMACY #291,PP482180,Active,2011-08-08,2011-08-08,2019-07-16,19123,PHILADELPHIA
ACME PHARMACY #299,PP415281L,Active,1997-04-29,2001-06-18,2019-07-16,19149,PHILADELPHIA
ACORX,PP482686,Active,2016-10-31,2016-10-31,2019-07-29,15106,CARNEGIE
"ADAMS & BRIGHT DRUGS, LLC",PP410019L,Active,1977-07-06,2001-06-18,2019-08-16,19526,HAMBURG
ADAMS CUMBERLAND MEDICAL CTR PHCY,PP413295L,Active,1983-05-04,2001-06-18,2019-07-25,17307,BIGLERVILLE
ADAMS DISCOUNT PHARMACY,PP481479,Active,2005-08-30,2005-08-30,2019-08-02,19038,GLENSIDE
ADVANCE CARE PHARMACY,PP414041L,Active,1988-04-20,2014-10-09,2019-08-05,15701,INDIANA
ADVANCED PHARMACY SERVICES LLC,PP482147,Active,2011-07-07,2011-07-07,2019-08-20,18705,PLAINS
ADVANCED RX,PP482512,Active,2014-10-21,2017-01-31,2019-07-22,19462,PLYMOUTH MEETING
ADVOCATE PHARMACY,PP482751,Active,2017-09-29,2017-09-29,2019-07-16,19446,LANSDALE
ADZEMA PHARMACY,PP413073L,Active,1977-07-19,2001-06-18,2019-08-05,15237,PITTSBURGH
AGH APOTHECARY,PP482004,Active,2010-06-11,2010-06-11,2019-07-17,15212,PITTSBURGH
AHF PHARMACY,PP482779,Active,2018-04-23,2018-04-23,2019-08-09,19107,PHILADELPHIA
AHN PHARMACY,PP482517,Active,2014-09-26,2014-09-26,2019-07-17,15090,WEXFORD
AHN PHARMACY #2,PP482546,Active,2015-04-17,2015-04-17,2019-07-17,15224,PITTSBURGH
AHN PHARMACY #5,PP481975,Active,2009-11-12,2009-11-12,2019-07-17,15222,PITTSBURGH
ALBERT EINSTEIN MEDICAL CENTER PHARMACY,HP418002L,Active,1977-07-15,2001-06-18,2019-07-16,191413098,PHILADELPHIA
ALBERT'S PHARMACY,PP482169,Active,2011-08-08,2011-08-08,2019-07-22,18640,PITTSTON
ALBION PHARMACY,PP410032L,Active,1977-07-26,2001-06-18,2019-07-29,16401,ALBION
ALBRIGHT PHARMACY SERVICES,PP415550L,Active,1999-08-23,2001-06-18,2019-07-19,17837,LEWISBURG
ALEXA PHARMACY LLC,PP482379,Active,2013-04-22,2013-04-22,2019-08-02,19111,PHILADELPHIA
"ALIXA RX LLC, D/B/A ALIXA RX",PP482264,Active,2012-05-01,2012-05-01,2019-08-27,15017,BRIDGEVILLE
ALLEGHENY APOTHECARY,PP415064L,Active,1995-08-14,2009-09-01,2019-07-18,19134,PHILADELPHIA
ALLEGHENY CO HEALTH DEPT PHARMACY,HP418256L,Active,1977-08-12,2007-07-24,2019-07-17,15224,PITTSBURGH
ALLEGHENY DISCOUNT PHARMACY,PP482441,Active,2014-02-05,2014-02-05,2019-07-22,191321223,PHILADELPHIA
ALLEGHENY GENERAL HOSPITAL PHARMACY,HP418007L,Active,1977-08-15,2001-06-18,2019-07-17,15212,PITTSBURGH
ALLEGHENY HEALTH NETWORK CANCER INSTITUTE - BEAVER,PP482884,Active,2019-04-29,2019-04-29,2019-07-22,15061,MONACA
